,Unnamed: 0,Date,User,Tweet,Sentiment
0,0,2022-05-23 23:54:48+00:00,2TradeAsia,"Balisacan is BBM's Socioeconomic Planning chief.  Arsenio Balisacan will be presumptive president-elect Ferdinand ‘Bongbong’ Marcos, Jr.’s (BBM) NEDA chief.  Balisacan will succeed Karl Kendrick Chua.",neutral
1,1,2022-05-23 23:41:29+00:00,AmigoManila,"MORE coverage of President-elect Bongbong Marcos, Jr., LESS of that trying hard ""actress-actressan"".

Good morning everyone.

The Philippines' democracy is ALIVE. 🇵🇭✌❤💚👊",positive
2,2,2022-05-23 23:28:28+00:00,OnePonceEnrile,"Bongbong Marcos sucks ass!
#NeverForget",negative
3,3,2022-05-23 23:23:34+00:00,radharuss,"Bongbong Marcos’ ‘admittance’ of a troll army resurfaces, Jim Paredes believes it https://t.co/mVll9gDigx  And you are? what are you?",negative
4,4,2022-05-23 23:21:18+00:00,nixonapun,@laarni1224 That's correct. Mandadaya na lang si Bongbong Marcos nagpahalata pa sa 31M. 🤪,neutral
